Machi,ID,EdMes,EmpMat,Target,q9
0,263,1,1,1,1
0,283,1,1,1,1
0,284,1,1,1,0
0,285,1,1,1,1
0,308,1,NA,1,0
0,265,1,0,1,1
0,286,1,1,1,1
0,266,1,1,1,1
0,296,1,0,1,1
0,264,1,1,1,0
0,267,1,1,1,1
0,288,1,1,1,1
0,289,1,0,1,1
0,273,1,1,1,1
0,290,1,0,1,0
0,291,1,1,1,1
0,268,1,1,1,1
0,269,1,1,1,1
0,295,1,0,1,1
0,293,1,1,1,0
0,270,1,1,1,0
0,271,1,1,1,0
0,272,1,1,1,0
0,292,1,1,1,0
0,294,1,0,1,0
0,274,1,0,1,1
0,275,1,1,1,0
0,276,1,1,1,1
0,277,1,1,1,1
1,297,1,0,1,0
0,298,1,1,1,1
0,299,1,1,1,1
0,278,1,1,1,1
0,300,1,1,1,0
0,279,1,0,1,1
0,280,1,1,1,1
0,301,1,0,1,1
0,287,1,1,1,0
0,281,1,0,1,1
0,302,1,0,1,0
0,303,1,0,1,0
1,304,1,0,1,1
0,282,1,0,1,1
0,195,1,1,1,1
0,182,1,1,1,1
0,212,1,NA,1,1
0,247,1,1,1,0
1,227,1,0,1,1
0,228,1,1,1,1
0,248,1,1,1,1
0,205,1,1,1,1
0,177,1,1,1,1
0,229,1,1,1,0
0,249,1,0,1,0
0,197,1,0,1,1
0,178,1,1,1,0
0,193,1,NA,1,1
0,246,1,0,1,1
0,250,1,1,1,1
1,189,1,1,1,0
0,233,1,1,1,0
0,216,1,0,1,1
0,238,1,1,1,1
0,217,1,1,1,1
0,256,1,1,1,1
0,234,1,1,1,1
0,251,1,1,1,1
0,202,1,1,1,1
1,252,1,0,1,0
0,253,1,0,1,1
0,240,1,1,1,1
0,254,1,1,1,1
0,236,1,1,1,0
0,183,1,1,1,1
0,176,1,1,1,1
0,255,1,0,1,0
0,198,1,0,1,1
0,225,1,0,1,0
0,257,1,0,1,0
0,258,1,0,1,0
0,180,1,1,1,1
0,260,1,1,1,1
0,181,1,1,1,1
0,179,1,0,1,0
0,259,1,1,1,1
1,196,1,0,1,1
0,206,1,1,1,1
0,261,1,1,1,1
0,262,1,0,1,1
0,241,1,1,1,1
0,243,1,0,1,0
1,38,0,0,1,0
1,27,0,0,1,0
1,78,0,0,1,0
1,4,0,0,1,0
1,72,0,0,1,NA
1,73,0,0,1,0
1,166,0,0,1,0
1,109,1,0,1,0
1,55,0,0,1,1
1,19,1,0,1,1
1,120,0,0,1,1
1,122,0,0,1,0
1,31,0,0,1,0
1,161,1,0,1,1
1,57,0,0,1,0
1,29,0,0,1,0
1,61,0,0,1,0
1,87,0,0,1,0
1,115,0,0,1,0
1,28,0,0,1,0
1,18,0,0,1,1
1,44,0,0,1,0
1,141,0,0,1,0
1,7,0,0,1,0
1,146,1,0,1,0
1,105,0,0,1,NA
1,155,1,0,1,1
1,135,0,0,1,1
1,171,0,0,1,0
1,107,0,0,1,0
1,45,0,0,1,0
1,119,0,0,1,0
1,123,0,0,1,0
1,145,0,0,1,0
1,66,0,0,1,0
1,242,0,0,1,0
1,3,0,0,1,1
1,94,0,0,1,0
1,30,0,0,1,0
1,95,0,0,1,0
1,84,0,0,1,0
1,71,0,0,1,0
1,110,0,0,1,0
1,154,1,0,1,0
1,85,0,0,1,0
1,153,1,0,1,1
1,17,0,0,1,0
1,56,0,0,1,0
1,149,0,0,1,0
1,108,0,0,1,0
1,160,0,0,1,0
1,53,0,0,1,0
1,1,0,0,1,NA
1,244,0,0,1,1
1,106,0,0,1,1
1,83,1,0,1,1
1,137,0,0,1,1
1,121,0,0,1,0
1,124,0,0,1,0
1,67,0,0,1,0
1,26,0,0,1,0
1,2,0,0,1,1
1,60,0,0,1,0
1,148,0,0,1,0
1,16,0,0,1,0
1,245,0,0,1,0
1,165,1,0,1,1
1,79,0,0,1,0
1,142,0,0,1,0
1,21,0,0,1,1
1,52,0,0,1,0
1,37,0,0,1,0
1,101,1,0,1,0
1,307,1,0,1,0
0,284,1,1,2,1
0,285,1,1,2,1
0,308,1,NA,2,1
0,265,1,0,2,1
0,266,1,1,2,0
0,296,1,0,2,1
0,288,1,1,2,1
0,289,1,0,2,1
0,273,1,1,2,0
0,268,1,1,2,1
0,295,1,0,2,1
0,271,1,1,2,1
0,272,1,1,2,0
0,294,1,0,2,1
0,274,1,0,2,1
0,275,1,1,2,1
0,277,1,1,2,1
1,297,1,0,2,0
0,298,1,1,2,1
0,299,1,1,2,1
0,278,1,1,2,1
0,300,1,1,2,1
0,280,1,1,2,1
0,301,1,0,2,1
1,304,1,0,2,0
0,195,1,1,2,1
0,182,1,1,2,1
0,247,1,1,2,0
1,227,1,0,2,1
0,228,1,1,2,1
0,248,1,1,2,1
0,177,1,1,2,1
0,178,1,1,2,1
0,246,1,0,2,1
1,189,1,1,2,0
0,216,1,0,2,1
0,234,1,1,2,1
0,202,1,1,2,1
0,240,1,1,2,1
0,254,1,1,2,0
0,236,1,1,2,0
0,183,1,1,2,1
0,176,1,1,2,1
0,198,1,0,2,1
0,180,1,1,2,1
0,260,1,1,2,1
0,181,1,1,2,1
0,179,1,0,2,1
0,261,1,1,2,0
0,262,1,0,2,1
0,241,1,1,2,1
1,38,0,0,2,1
1,27,0,0,2,0
1,78,0,0,2,0
1,4,0,0,2,0
1,109,1,0,2,0
1,55,0,0,2,0
1,120,0,0,2,0
1,122,0,0,2,0
1,31,0,0,2,1
1,161,1,0,2,1
1,57,0,0,2,0
1,29,0,0,2,0
1,28,0,0,2,0
1,18,0,0,2,0
1,44,0,0,2,0
1,141,0,0,2,0
1,7,0,0,2,0
1,105,0,0,2,1
1,171,0,0,2,0
1,107,0,0,2,0
1,45,0,0,2,0
1,119,0,0,2,0
1,123,0,0,2,0
1,66,0,0,2,0
1,242,0,0,2,0
1,3,0,0,2,0
1,30,0,0,2,0
1,110,0,0,2,0
1,154,1,0,2,0
1,153,1,0,2,0
1,17,0,0,2,0
1,149,0,0,2,0
1,108,0,0,2,0
1,160,0,0,2,0
1,53,0,0,2,0
1,1,0,0,2,1
1,106,0,0,2,0
1,137,0,0,2,0
1,121,0,0,2,0
1,124,0,0,2,0
1,67,0,0,2,0
1,26,0,0,2,0
1,2,0,0,2,0
1,60,0,0,2,0
1,148,0,0,2,0
1,16,0,0,2,0
1,165,1,0,2,0
1,79,0,0,2,0
1,142,0,0,2,0
1,21,0,0,2,0
1,52,0,0,2,0
1,37,0,0,2,0
1,307,1,0,2,0
0,284,1,1,3,1
0,285,1,1,3,1
0,308,1,NA,3,1
0,265,1,0,3,1
0,266,1,1,3,1
0,296,1,0,3,1
0,288,1,1,3,1
0,289,1,0,3,1
0,273,1,1,3,1
0,268,1,1,3,1
0,295,1,0,3,1
0,271,1,1,3,1
0,272,1,1,3,0
0,294,1,0,3,1
0,274,1,0,3,1
0,275,1,1,3,1
0,277,1,1,3,1
1,297,1,0,3,0
0,298,1,1,3,1
0,299,1,1,3,1
0,278,1,1,3,1
0,300,1,1,3,1
0,280,1,1,3,1
0,301,1,0,3,1
1,304,1,0,3,1
0,195,1,1,3,1
0,182,1,1,3,1
0,247,1,1,3,0
1,227,1,0,3,1
0,228,1,1,3,1
0,248,1,1,3,1
0,177,1,1,3,1
0,178,1,1,3,0
0,246,1,0,3,1
1,189,1,1,3,0
0,216,1,0,3,1
0,234,1,1,3,0
0,202,1,1,3,1
0,240,1,1,3,1
0,254,1,1,3,0
0,236,1,1,3,0
0,183,1,1,3,0
0,176,1,1,3,1
0,198,1,0,3,0
0,180,1,1,3,1
0,260,1,1,3,1
0,181,1,1,3,0
0,179,1,0,3,1
0,261,1,1,3,0
0,262,1,0,3,0
0,241,1,1,3,0
1,38,0,0,3,1
1,27,0,0,3,0
1,78,0,0,3,0
1,4,0,0,3,0
1,109,1,0,3,0
1,55,0,0,3,0
1,120,0,0,3,0
1,122,0,0,3,0
1,31,0,0,3,1
1,161,1,0,3,0
1,57,0,0,3,0
1,29,0,0,3,0
1,28,0,0,3,0
1,18,0,0,3,0
1,44,0,0,3,0
1,141,0,0,3,0
1,7,0,0,3,0
1,105,0,0,3,1
1,171,0,0,3,0
1,107,0,0,3,0
1,45,0,0,3,0
1,119,0,0,3,0
1,123,0,0,3,1
1,66,0,0,3,0
1,242,0,0,3,0
1,3,0,0,3,0
1,30,0,0,3,0
1,110,0,0,3,0
1,154,1,0,3,0
1,153,1,0,3,0
1,17,0,0,3,0
1,149,0,0,3,0
1,108,0,0,3,0
1,160,0,0,3,0
1,53,0,0,3,0
1,1,0,0,3,1
1,106,0,0,3,0
1,137,0,0,3,0
1,121,0,0,3,0
1,124,0,0,3,0
1,67,0,0,3,0
1,26,0,0,3,0
1,2,0,0,3,0
1,60,0,0,3,0
1,148,0,0,3,1
1,16,0,0,3,0
1,165,1,0,3,0
1,79,0,0,3,0
1,142,0,0,3,0
1,21,0,0,3,0
1,52,0,0,3,0
1,37,0,0,3,0
1,307,1,0,3,0
